,Isoelectric Point,Tiny,Small,Aliphatic,Aromatic,Non-polar,Polar,Charged,Basic,Acidic
P48813,0.3569187390331979,0.3046757164404223,0.49924585218702866,0.31825037707390647,0.13122171945701358,0.5987933634992458,0.40120663650075417,0.20211161387631976,0.11010558069381599,0.09200603318250378
P53241,1.1571349366007464,0.2715008431703204,0.4620573355817875,0.28836424957841483,0.1905564924114671,0.5868465430016864,0.4131534569983137,0.21416526138279932,0.1281618887015177,0.08600337268128162
P33550,-0.9405746670227558,0.2235294117647059,0.4211764705882353,0.2211764705882353,0.18588235294117647,0.5176470588235295,0.4823529411764706,0.27058823529411763,0.13411764705882354,0.13647058823529412
Q02207,1.3907099472449043,0.3011111111111111,0.5211111111111111,0.31444444444444447,0.11333333333333333,0.5511111111111111,0.4488888888888889,0.23666666666666666,0.13666666666666666,0.1
P21375,1.4172052008101994,0.2894211576846307,0.5209580838323353,0.29740518962075846,0.08383233532934131,0.499001996007984,0.500998003992016,0.24750499001996007,0.1437125748502994,0.10379241516966067
P04046,-0.546599177491173,0.28431372549019607,0.5235294117647059,0.2901960784313726,0.10784313725490197,0.5470588235294118,0.45294117647058824,0.26862745098039215,0.13725490196078433,0.13137254901960785
P10659,-1.3576516360674489,0.31413612565445026,0.5261780104712042,0.3089005235602094,0.09947643979057591,0.5445026178010471,0.45549738219895286,0.2801047120418848,0.13089005235602094,0.14921465968586387
P22438,1.1480253325659373,0.21913043478260869,0.4365217391304348,0.2591304347826087,0.1391304347826087,0.4991304347826087,0.5008695652173913,0.27304347826086955,0.1582608695652174,0.11478260869565217
Q01574,-0.3134409461165812,0.2959326788218794,0.5287517531556802,0.29873772791023845,0.12482468443197756,0.5427769985974754,0.45722300140252453,0.25666199158485276,0.13604488078541374,0.12061711079943899
P36024,-1.6593998272335453,0.26334519572953735,0.5604982206405694,0.23309608540925267,0.051601423487544484,0.4110320284697509,0.5889679715302492,0.3096085409252669,0.12633451957295375,0.18327402135231316
P13711,0.9160578991043912,0.27807486631016043,0.4946524064171123,0.29411764705882354,0.11898395721925134,0.5254010695187166,0.47459893048128343,0.2540106951871658,0.14171122994652408,0.11229946524064172
P22203,-1.2505989036845282,0.2145922746781116,0.41201716738197425,0.3261802575107296,0.04291845493562232,0.45064377682403434,0.5493562231759657,0.33476394849785407,0.15879828326180256,0.1759656652360515
P00890,0.8325234255041479,0.29018789144050106,0.4613778705636743,0.31315240083507306,0.11899791231732777,0.5386221294363257,0.4613778705636743,0.27348643006263046,0.1524008350730689,0.12108559498956159
P38113,-0.46556537950832844,0.32763532763532766,0.5584045584045584,0.3247863247863248,0.11396011396011396,0.6125356125356125,0.38746438746438744,0.2222222222222222,0.1168091168091168,0.10541310541310542
Q06236,1.5874893023759127,0.31547619047619047,0.47619047619047616,0.30952380952380953,0.14285714285714285,0.5892857142857143,0.4107142857142857,0.19642857142857142,0.13690476190476192,0.05952380952380952
Q12429,-0.8386423656659368,0.23503649635036497,0.4656934306569343,0.2759124087591241,0.11386861313868613,0.49635036496350365,0.5036496350364964,0.26423357664233577,0.13284671532846715,0.13138686131386862
P06174,0.6753976408776036,0.24727272727272728,0.49454545454545457,0.3090909090909091,0.09090909090909091,0.49818181818181817,0.5018181818181818,0.2909090909090909,0.16,0.13090909090909092
Q12116,-1.1727207201712582,0.35095137420718814,0.5433403805496829,0.3298097251585624,0.13953488372093023,0.6046511627906976,0.3953488372093023,0.13530655391120508,0.06553911205073996,0.06976744186046512
P32610,-0.900682936935683,0.25390625,0.44140625,0.296875,0.0703125,0.453125,0.546875,0.32421875,0.16015625,0.1640625
P23641,1.54378701896709,0.3858520900321543,0.5305466237942122,0.3215434083601286,0.1189710610932476,0.639871382636656,0.36012861736334406,0.14469453376205788,0.09003215434083602,0.05466237942122187
P08678,0.10839921458029969,0.2813425468904245,0.5123395853899309,0.25567620927936824,0.09674234945705824,0.4437314906219151,0.5562685093780849,0.2640671273445212,0.1441263573543929,0.11994076999012833
P40527,-0.4101932765516454,0.2710686359687228,0.4891398783666377,0.30755864465682015,0.11902693310165074,0.5108601216333623,0.4891398783666377,0.24239791485664638,0.1268462206776716,0.1155516941789748
P19414,0.6162745244948229,0.2930591259640103,0.5334190231362468,0.29048843187660667,0.10025706940874037,0.5424164524421594,0.45758354755784064,0.26735218508997427,0.14652956298200515,0.12082262210796915
P40445,1.2579359799401704,0.26199261992619927,0.44095940959409596,0.3173431734317343,0.13837638376383765,0.5756457564575646,0.42435424354243545,0.21033210332103322,0.11992619926199262,0.09040590405904059
P32191,0.46593628797264564,0.2896764252696456,0.5208012326656395,0.29892141756548535,0.1140215716486903,0.5439137134052389,0.4560862865947612,0.23882896764252695,0.13097072419106318,0.10785824345146379
Q12494,-0.20347075884669547,0.26285714285714284,0.4990476190476191,0.21714285714285714,0.10761904761904761,0.4076190476190476,0.5923809523809523,0.31142857142857144,0.1676190476190476,0.1438095238095238
