Entry	Entry Name	Length	Cofactor	Catalytic activity	Binding site	Annotation	EC number	Protein existence	Gene Names (ordered locus)	Gene Names (primary)
A0A0B7P3V8	YP41B_YEAST	1104		CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.49; CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.7; CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.4;	BINDING 630; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 695; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"	5.0	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	Uncertain	YPL060C-A	TY4B-P
O13297	CET1_YEAST	549	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:6094533};	CATALYTIC ACTIVITY: Reaction=a 5'-end triphospho-ribonucleoside in mRNA + H2O = a 5'-end diphospho-ribonucleoside in mRNA + H(+) + phosphate; Xref=Rhea:RHEA:67004, Rhea:RHEA-COMP:17164, Rhea:RHEA-COMP:17165, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:43474, ChEBI:CHEBI:167616, ChEBI:CHEBI:167618; EC=3.6.1.74; Evidence={ECO:0000269|PubMed:6094533}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:67005; Evidence={ECO:0000269|PubMed:6094533};		5.0	3.6.1.74	Evidence at protein level	YPL228W	CET1
O13329	FOB1_YEAST	566				5.0		Evidence at protein level	YDR110W	FOB1
O13516	RS9A_YEAST	197				5.0		Evidence at protein level	YPL081W	RPS9A
O13527	YA11B_YEAST	1196		CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.49; CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.7; CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.4;	BINDING 112; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 177; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 787; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 868; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 869; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1051; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1093; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1126; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"	5.0	2.7.7.49; 2.7.7.7; 3.1.26.4	Inferred from homology	YAR009C	TY1B-A
O13535	YH11B_YEAST	1793		CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.49; CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.7; CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.4;	BINDING 709; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 774; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1384; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1465; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1466; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1648; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1690; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1723; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"	5.0	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	Inferred from homology	YHR214C-B	TY1B-H
O13539	THP2_YEAST	261				5.0		Evidence at protein level	YHR167W	THP2
O13547	CCW14_YEAST	238				5.0		Evidence at protein level	YLR390W-A	CCW14
O13563	RPN13_YEAST	156				5.0		Evidence at protein level	YLR421C	RPN13
O14467	MBF1_YEAST	151				5.0		Evidence at protein level	YOR298C-A	MBF1
